City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,atafu village,-8.5421,-172.5159,27.88,76,7,4.43,TK,1738043507
121,horta,38.5333,-28.6333,16.68,85,34,8.49,PT,1738043509
122,wailua homesteads,22.0669,-159.378,17.7,91,75,5.66,US,1738043510
123,insar,53.8653,44.3738,1.08,98,96,5.12,RU,1738043511
124,lazaro cardenas,17.9583,-102.2,23.65,90,100,1.34,MX,1738043512
125,fort st. john,56.2499,-120.8529,3.94,48,75,11.32,CA,1738043514
126,shenjiamen,29.9576,122.298,5.11,39,0,8.11,CN,1738043515
127,polyarnyy,69.1989,33.4478,-4.95,82,100,5.12,RU,1738043516
128,khandyga,62.6667,135.6,-35.96,99,37,0.9,RU,1738043517
129,naze,28.3667,129.4833,11.51,55,99,7.8,JP,1738043519
130,namibe,-15.1961,12.1522,23.7,81,100,2.77,AO,1738043520
131,durango,24.8333,-104.8333,12.68,34,100,3.74,MX,1738043475
132,lapinlahti,65.5833,30.5667,-1.42,89,100,4.48,RU,1738043523
133,howard springs,-12.497,131.047,31.95,64,93,2.77,AU,1738043524
134,alotau,-10.3069,150.4462,31.04,64,82,3.98,PG,1738043525
135,glace bay,46.1969,-59.957,0.55,78,75,8.75,CA,1738043527
136,codrington,-38.2667,141.9667,17.94,59,34,6.49,AU,1738043528
137,port lincoln,-34.7333,135.8667,20.79,52,44,6.88,AU,1738043529
138,madingou,-4.1536,13.55,21.97,97,100,0.89,CG,1738043530
139,betio village,1.358,172.9211,29.02,81,93,6.61,KI,1738043251
140,avarua,-21.2078,-159.775,27.03,83,40,1.54,CK,1738043534
141,nemuro,43.3236,145.575,0.93,79,17,6.72,JP,1738043536
142,lihue,21.9789,-159.3672,18.03,92,75,5.66,US,1738043537
143,jwaneng,-24.6004,24.7303,23.1,37,5,7.1,BW,1738043538
144,pathein,16.7833,94.7333,31.11,44,32,2.64,MM,1738043540
145,coahuayana de hidalgo,18.7,-103.6583,23.54,91,99,1.03,MX,1738043541
146,holualoa,19.6228,-155.9522,20.46,89,1,0.45,US,1738043542
147,prince rupert,54.3161,-130.3201,2.83,93,100,2.57,CA,1738043346
148,susuman,62.7833,148.1667,-41.36,95,17,2.48,RU,1738043545
149,belmonte,-15.8631,-38.8828,24.49,89,79,1.88,BR,1738043546
150,black river,18.0264,-77.8487,23.16,90,37,2.68,JM,1738043547
151,lebu,-37.6167,-73.65,12.79,82,0,8.74,CL,1738043548
152,caarapo,-22.6342,-54.8222,20.95,96,100,1.82,BR,1738043550
153,saynshand,44.8824,110.1163,-14.08,51,84,3.02,MN,1738043551
